Yelp_id	Address	Name	Price	Rating	Review Count	Latitude	Longitude	City	Zipcode	Category1	Category2	Category3	County	Tract
the-tropic-truck-los-angeles-5	{'address1': None, 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90027', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90027']}	The Tropic Truck	2	4.0	50	-118.30206000000001	34.10161	Los Angeles	90027	Food Trucks	Caribbean	Caterers	Los Angeles County	190520.0
okamoto-kitchen-los-angeles-2	{'address1': None, 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '91423', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 91423']}	Okamoto Kitchen	2	4.5	168	-118.42539678840599	34.1463062227897	Los Angeles	91423	Food Trucks	Japanese	Caterers	Los Angeles County	141102.0
subway-la-verne	{'address1': '2145 Foothill Blvd', 'address2': 'Ste B', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2145 Foothill Blvd', 'Ste B', 'La Verne, CA 91750']}	Subway	1	4.0	16	-117.7635014	34.113012299999994	La Verne	91750	Sandwiches	Fast Food		Los Angeles County	401601.0
white-rabbit-truck-los-angeles-4	{'address1': None, 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90012']}	White Rabbit Truck	1	3.5	569	-118.243949890137	34.056911468505895	Los Angeles	90012	Filipino	Food Trucks	Caterers	Los Angeles County	207400.0
subway-claremont-2	{'address1': '594 E Baseline Rd', 'address2': '', 'address3': '', 'city': 'Claremont', 'zip_code': '91711', 'country': 'US', 'state': 'CA', 'display_address': ['594 E Baseline Rd', 'Claremont, CA 91711']}	Subway	1	2.5	23	-117.7055838	34.1214851	Claremont	91711	Sandwiches	Fast Food		Los Angeles County	401800.0
alfredos-mexican-food-la-verne	{'address1': '914 Foothill Blvd', 'address2': '', 'address3': None, 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['914 Foothill Blvd', 'La Verne, CA 91750']}	Alfredo's Mexican Food		5.0	1	-117.788836869657	34.1208269512003	La Verne	91750	Mexican			Los Angeles County	400302.0
little-caesars-pizza-la-verne	{'address1': '2086 Foothill Blvd', 'address2': 'Ste C', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2086 Foothill Blvd', 'Ste C', 'La Verne, CA 91750']}	Little Caesars Pizza	1	3.5	18	-117.76607620000001	34.1134219	La Verne	91750	Pizza			Los Angeles County	401602.0
chipotle-mexican-grill-la-verne	{'address1': '2298 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2298 Foothill Blvd', 'La Verne, CA 91750']}	Chipotle Mexican Grill	1	2.5	161	-117.76193119999999	34.112046	La Verne	91750	Fast Food	Mexican		Los Angeles County	401602.0
tasty-goody-la-verne	{'address1': '1483 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['1483 Foothill Blvd', 'La Verne, CA 91750']}	Tasty Goody	1	3.0	59	-117.775364265162	34.1173793213056	La Verne	91750	Chinese	Fast Food		Los Angeles County	401601.0
el-pollo-loco-la-verne-2	{'address1': '2360 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2360 Foothill Blvd', 'La Verne, CA 91750']}	El Pollo Loco	1	2.0	99	-117.760452270508	34.1113891601562	La Verne	91750	Fast Food	Mexican		Los Angeles County	401602.0
