,census_tract,total_pop,not_impoverished_percap,impoverished_percap
467,192610,5291,3056,0.4224154224154224
468,192620,3908,2273,0.41837256908904813
469,192700,3422,1980,0.4213909994155465
470,194101,1289,736,0.42901474010861135
471,194102,516,295,0.42829457364341084
472,194200,1599,908,0.43214509068167606
473,194300,493,284,0.4239350912778905
474,194401,1013,581,0.42645607107601186
475,194402,1877,1068,0.431006925945658
476,194500,523,316,0.39579349904397704
477,195100,959,561,0.41501564129301355
478,195201,841,485,0.4233055885850178
479,195202,593,339,0.42833052276559863
480,195300,1834,1067,0.4182115594329335
481,195400,1384,802,0.42052023121387283
482,195500,2184,1270,0.4184981684981685
483,195600,2763,1609,0.417661961635903
484,195710,4523,2626,0.419411894760115
485,195720,2430,1414,0.4181069958847737
486,195802,2382,1400,0.41225860621326615
487,195803,1514,881,0.4180977542932629
488,195804,1214,714,0.41186161449752884
489,195901,1855,1071,0.4226415094339623
490,195902,1293,755,0.41608662026295434
491,195903,1283,750,0.4154325798908807
492,980033,0,0,
493,197200,2391,1395,0.41656210790464243
494,197300,1755,1016,0.42108262108262107
495,197410,1603,932,0.4185901434809732
496,197420,2141,1250,0.4161606725829052
497,197500,2016,1179,0.41517857142857145
498,197600,1582,928,0.4134007585335019
499,197700,5407,3111,0.4246347327538376
500,199000,7797,4391,0.4368346800051302
501,199110,2339,1409,0.39760581445061993
502,199120,6476,3616,0.4416306361951822
503,199201,5348,3109,0.41866118175018696
504,199202,3731,2189,0.4132940230501206
505,199300,2341,1396,0.4036736437419906
506,199400,5861,3419,0.41665244838764715
507,199700,4806,2732,0.43154390345401583
508,199800,5956,3455,0.41991269308260576
509,199900,3913,2228,0.4306158957321748
510,201110,981,585,0.4036697247706422
511,201120,4835,2861,0.40827300930713545
512,201200,3179,1886,0.4067316766278704
513,201301,3668,2176,0.40676117775354415
514,201302,1504,888,0.4095744680851064
515,201401,5390,3207,0.40500927643784784
516,201402,2093,1251,0.4022933588150979
517,201501,3432,2056,0.40093240093240096
518,201503,4486,2623,0.4152920196165849
519,201504,1102,662,0.3992740471869328
520,201601,981,586,0.4026503567787971
521,201602,844,505,0.40165876777251186
522,201700,3985,2367,0.4060225846925972
523,203100,8043,4453,0.4463508641054333
524,203200,5454,3189,0.4152915291529153
525,203300,1613,940,0.4172349659020459
526,203500,3106,1806,0.41854475209272374
527,203600,6482,3776,0.41746374575748224
528,203710,3914,2283,0.41670924885028104
529,203720,5434,3142,0.4217887375782113
530,203800,3392,1981,0.41597877358490565
531,203900,2676,1558,0.41778774289985054
532,204110,3061,1787,0.41620385494936296
533,204120,1370,803,0.4138686131386861
534,204200,3773,2205,0.4155844155844156
535,204300,6322,3637,0.42470737108509965
536,204410,4017,2234,0.4438635797859099
537,204420,4349,2490,0.4274545872614394
538,204600,2983,1740,0.4166946027489105
539,204700,6575,3786,0.4241825095057034
540,204810,4894,2860,0.41561095218635064
541,204820,1988,1162,0.4154929577464789
542,204910,4149,2405,0.4203422511448542
543,204920,2948,1718,0.41723202170963364
