,CensusTract,name,category1,price,rating,review_count,city,zipcode,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,County
717,6037265202.0,Ike's Place,Sandwiches,$$,4.0,616,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
718,6037264301.0,Simply Salad,Salad,$$,4.5,86,Los Angeles,90049.0,5.3,75.5,1.2,0.0,14.9,0.0,84122.0,68892.0,5.7,Los Angeles
719,6037265510.0,Fresh Corn Grill,American (New),$$,4.0,426,Los Angeles,90024.0,6.4,49.8,0.6,0.0,38.3,0.0,53431.0,56093.0,37.3,Los Angeles
720,6037267402.0,Mini Cafe 2go,Cafes,$$,4.5,14,Los Angeles,90025.0,7.8,60.1,4.2,0.0,25.2,0.0,64624.0,51965.0,10.5,Los Angeles
723,6037267402.0,Kotoya Japanese Ramen,Ramen,$$,3.5,492,Los Angeles,90025.0,7.8,60.1,4.2,0.0,25.2,0.0,64624.0,51965.0,10.5,Los Angeles
724,6037264301.0,Pizzana,Pizza,$$,4.0,323,Los Angeles,90049.0,5.3,75.5,1.2,0.0,14.9,0.0,84122.0,68892.0,5.7,Los Angeles
725,6037262200.0,The Bel-Air,American (New),$$$,4.0,161,Los Angeles,90049.0,7.9,73.0,4.0,0.0,9.0,0.0,172043.0,94535.0,3.3,Los Angeles
726,6037271200.0,Freddy Small's Bar and Kitchen,Pubs,$$,4.0,472,Los Angeles,90064.0,33.3,30.4,3.0,0.0,30.4,0.0,64297.0,34480.0,15.1,Los Angeles
727,6037271902.0,Taco Stand on Centinela and Venice,Tacos,$,4.5,30,Los Angeles,90066.0,22.7,57.9,3.5,0.2,9.5,0.0,64423.0,50776.0,9.0,Los Angeles
728,6037267402.0,BioBar,Sandwiches,$$,4.0,62,Los Angeles,90025.0,7.8,60.1,4.2,0.0,25.2,0.0,64624.0,51965.0,10.5,Los Angeles
729,6037264302.0,Big Catch Seafood House,Seafood,$$,4.0,307,Los Angeles,90025.0,6.4,77.5,1.7,0.0,9.8,0.0,95284.0,78322.0,7.0,Los Angeles
730,6037267402.0,Tom's Sushi House,Japanese,$$,4.5,194,Los Angeles,90025.0,7.8,60.1,4.2,0.0,25.2,0.0,64624.0,51965.0,10.5,Los Angeles
731,6037265520.0,La Bruschetta Ristorante,Italian,$$$,4.0,205,Los Angeles,90024.0,4.1,69.4,2.3,0.0,20.0,0.0,86429.0,66078.0,13.2,Los Angeles
732,6037265202.0,Skylight Gardens,Italian,$$,4.0,495,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
733,6037271200.0,The Arsenal,Lounges,$$,4.0,687,Los Angeles,90064.0,33.3,30.4,3.0,0.0,30.4,0.0,64297.0,34480.0,15.1,Los Angeles
734,6037264301.0,BRÜ HAUS,Gastropubs,$$,3.5,417,Los Angeles,90025.0,5.3,75.5,1.2,0.0,14.9,0.0,84122.0,68892.0,5.7,Los Angeles
735,6037265510.0,Maharaja Cuisine Of India,Indian,$$,4.5,162,Los Angeles,90024.0,6.4,49.8,0.6,0.0,38.3,0.0,53431.0,56093.0,37.3,Los Angeles
736,6037267700.0,Flaming Pot,Taiwanese,$$,3.5,96,Los Angeles,90064.0,21.3,39.8,1.8,0.0,33.3,0.0,81029.0,56534.0,9.5,Los Angeles
737,6037265520.0,Ramayani,Indonesian,$$,4.0,451,Los Angeles,90024.0,4.1,69.4,2.3,0.0,20.0,0.0,86429.0,66078.0,13.2,Los Angeles
738,6037265202.0,Dina's Cafe,Cafes,$,4.5,32,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
739,6037267800.0,Gulp Restaurant & Brew Pub,Gastropubs,$$,4.0,303,Los Angeles,90064.0,6.8,65.3,2.8,0.0,21.9,0.0,100273.0,48181.0,3.7,Los Angeles
740,6037264301.0,Palmeri Ristorante,Italian,$$$,4.0,211,Los Angeles,90049.0,5.3,75.5,1.2,0.0,14.9,0.0,84122.0,68892.0,5.7,Los Angeles
741,6037265202.0,Poke Bar,Hawaiian,$$,4.0,277,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
742,6037267700.0,Kimukatsu,Japanese,$$,3.5,391,Los Angeles,90025.0,21.3,39.8,1.8,0.0,33.3,0.0,81029.0,56534.0,9.5,Los Angeles
