,CensusTract,rating,review_count,total_resturants,Mexican,American (New),Food Trucks,Cafes,Coffee & Tea,Italian,Breakfast & Brunch,Burgers,Japanese,Korean,American (Traditional),Mediterranean,Seafood,Chinese,Pizza,Sandwiches,Bakeries,Barbeque,Thai,Ramen,Tacos,Sushi Bars,Bars,Latin American,Asian Fusion,Filipino,Food Stands,Indian,French,Delis,Vegan,Vietnamese,Diners,Sports Bars,Middle Eastern,Persian/Iranian,Salad,Salvadoran,Cocktail Bars,Wine Bars,Chicken Wings,Street Vendors,Taiwanese,Creperies,Hot Dogs,Caribbean,Hawaiian,Brazilian,Southern,Soul Food,average resturant price,Unnamed: 0,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Unnamed: 0.1,africanamerican138,africanamerican200,age_0_15_138,age_0_15_200,age_16_18_138,age_16_18_200,age_19_20_138,age_19_20_200,age_21_25_138,age_21_25_200,age_26_59_138,age_26_59_200,age_60_64_138,age_60_64_200,age_65up_138,age_65up_200,asian138,asian200,census_tract,female138,female200,latino138,latino200,male138,male200,multi_race138,nativeamerican138,nativeamerican200,other138,otherrace200,pacific_islander138,pacificislander200,service_area,two_more200,white138,white200,percent_bachelors,africanamericantotal,age_0_15_total,age_16_18_total,age_19_20_total,age_21_25_total,age_26_59_total,age_60_64_total,age_65up_total,asiantotal,femaletotal,latinototal,maletotal,multi_racetotal,nativeamericantotal,othertotal,pacific_islandertotal,whitetotal,total_pop,bachelors_percap,138_percap,200_percap,tract_group
Professional,0.01340601057432,-0.17622628011094155,0.2419374105840778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008535220906688158,-0.03152051571323598,-0.039390196578774794,-0.022681463691719618,-0.8518420637105394,0.8216692875753747,-0.15219294824928245,0.023798197863348382,0.27884618594190524,-0.02914791795724229,0.4004968351565937,0.7445919918667314,0.5438985209045376,0.8461896903892496,0.6199874643924213,-0.625048286690569,-0.6626579082438654,1.0,-0.7361787881748167,-0.17849906959862388,-0.7392199226280268,-0.8101399525885051,0.32638709375746755,-0.4893323538267484,-0.43341777655121133,-0.02405709653906535,-0.030398259794090117,0.51162895727073,-0.14871488325699522,0.21682204180172954,-0.3368566300432609,0.16561828770319195,0.22583313733630225,0.08824006873334035,-0.4526847993918029,0.024248625252827956,-0.330411576482119,-0.3227523911247934,-0.7401270503646606,-0.7670556941225763,-0.7482661060252327,-0.7673551335423188,-0.4465233197325277,-0.530487547757968,-0.29522587642880316,-0.3804305377134408,-0.5759745401570863,-0.6000310979748315,-0.524466927894601,-0.5565910298478892,-0.3385013926354084,-0.3590768025351629,0.02993038321911017,0.024157355161043163,0.015217226665736812,-0.6612679275719223,-0.6841627293102831,-0.7674521355244369,-0.7839848554427871,-0.6609310336942127,-0.6853264677815519,0.09922798919634049,-0.31635590481565873,-0.32601563896575364,-0.4055087157645258,-0.4025990703691333,-0.16206045626952176,-0.16129179961055895,-0.16964317282059588,0.12404728945353602,0.45762866430719373,0.46514924132375424,0.9489218806054668,-0.32643626568168266,-0.7587249619139625,-0.7617225465989617,-0.49424255590622773,-0.34192834167550545,-0.5914264311293927,-0.545032823797357,-0.35123494995268423,0.026722700782789544,-0.6762898474016683,-0.7786630677284205,-0.6765793994569591,0.11344413061525312,-0.32432695287850216,-0.4063687016974258,-0.16249294021592084,0.4630686204567186,-0.6785473854402178,0.9489218806054665,-0.6632376166475065,-0.6868505030942753,0.013978021567895278
Service,-0.13952299634170262,0.13237322413445113,-0.08631972768983986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1419684280289166,-0.05432391194458733,-0.03991987998189321,-0.06578940362228218,0.5630626484126475,-0.6022050415645342,0.21213041046543266,-0.026734014183114763,-0.1807996498403459,0.030919917328623044,-0.37105156154887003,-0.6725228596810341,-0.4335682072252024,-0.6522704439128899,-0.46968562421317456,0.5939560444622254,0.6134421085882222,-0.7361787881748167,1.0,-0.14988632740747007,0.4701696651816263,0.3861919039647617,-0.4533816965716937,0.28450744264203986,0.5139714279942342,0.10299377747108115,0.1443714110805085,-0.2591479412435512,0.12840994777855572,-0.1933732470362769,0.13044876347006765,-0.15312404583098294,0.028618119035785337,-0.0691304437045121,0.37739455855142784,0.01716844768306727,0.30816966555711955,0.30426668155930103,0.547556260421075,0.5685367865692291,0.5588564709187512,0.5726772518608698,0.33837015808819887,0.40198608322354806,0.23126338408552985,0.2965089752082406,0.5046891566854849,0.5214125294727782,0.49583772039233526,0.5121867402790455,0.3722304483245786,0.3866639688946114,0.08889187559626846,0.09942329708699107,0.03141093205679414,0.5324455615414494,0.5517842949777068,0.5657002106561403,0.5812945146054187,0.5351399535569836,0.5561566937593739,0.013683639882541822,0.3231875299003714,0.3338626262517836,0.41252832099697556,0.4162877248801184,0.16029289883490613,0.15921497298043855,0.13728248746019234,-0.007531328973131213,-0.30724145831147054,-0.3184754692879405,-0.7205965627019317,0.306240356826336,0.5618875848511821,0.5686661274490603,0.37452511452139636,0.2670443438221256,0.515692621978098,0.5072056462273001,0.3815287851471586,0.09506123976348936,0.5450502897964044,0.5759058438734621,0.5485233705133385,0.0018418452549404398,0.3317636676304707,0.41709134977220563,0.1605422757659468,-0.3143933448570089,0.548458140581542,-0.7205965627019325,0.5354835611481856,0.5556369209001918,0.036360109076008194
Office,0.1615353062264636,0.0027261284865724373,-0.13504521059975583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1652456672311177,0.07833219848190438,0.04481550878397943,0.10703379230733796,-0.005171452504973733,-0.12188936120082534,0.08022252728613496,0.04432062452000708,0.1418720171313335,0.04955270010896319,0.12663740003636362,-0.04281472769628614,-0.09674607693683268,-0.1741809179959289,-0.10940422813235222,-0.14364898189856065,-0.12510788978703913,-0.17849906959862388,-0.14988632740747007,1.0,-0.09714315444867935,-0.06623374805445724,0.22051753586855682,0.030598414672400168,-0.21657140119157883,0.04283118620144139,-0.14339244637922188,-0.18432087657310495,-0.024993351227020087,0.029445724796705586,0.05521988984166106,0.16901612103456343,-0.28860215306890735,0.013122869908253391,0.0706140100570883,-0.11318918287203746,0.029343860536236038,0.036735233266935126,-0.08861196605048498,-0.06993290279011789,-0.06348875425564184,-0.044953527867651125,0.004682335256271506,-0.003850775565007209,-0.0005287992418233785,-0.009995839966579517,-0.12177535382960979,-0.11635822768244916,-0.06926178142657041,-0.057484586866622625,-0.05385430678890046,-0.047449739808231015,-0.013020674673984645,-0.009955911098975026,-0.04431564947909234,-0.07859947791486613,-0.06913677309193972,-0.10703326917504215,-0.09758390477435298,-0.10369268464407531,-0.09676215595482568,0.055700726883317654,-0.10101572323984116,-0.08805091142353524,-0.05284700599254294,-0.04000624656550022,-0.03065831816495858,-0.014064032321573015,-0.04180356206784525,0.0608749005828282,-0.01734106115317261,-0.017574680852663588,-0.09528480596680021,0.03342037482434162,-0.07899381945962158,-0.053516734397143564,2.9668337368459708e-05,-0.005603048272087347,-0.11892711013763049,-0.06275169183843947,-0.050322879909304404,-0.011311439569328832,-0.07352216089089371,-0.10189829898638557,-0.100078397483625,0.05877455757519606,-0.09494797004889304,-0.04611917277216169,-0.021502643710524905,-0.01751813780278014,-0.08677244963453021,-0.09528480596680017,-0.09113920368211596,-0.08290586905063504,-0.04337192202573342
Construction,-0.03094280108768443,0.14118813615265915,-0.24362063502667225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06890363483176908,0.03794039405940686,0.06014469082271723,0.015146485106422226,0.7053847113279084,-0.569961229263318,0.023799994756643374,-0.012456260263668997,-0.3285484742800247,-0.023623422464094466,-0.3161111228922006,-0.5098582778944087,-0.3847743448250931,-0.6103864942667707,-0.4718648057346242,0.4508395213877574,0.48755066176036466,-0.7392199226280268,0.4701696651816263,-0.09714315444867935,1.0,0.5622329784011132,-0.19413963744885335,0.43732442368555413,0.2998792943827823,-0.09674968581171012,0.02759292519276477,-0.4159835255286607,0.23265750847711167,-0.16224709925270359,0.19979271131256254,-0.1585522619059126,-0.05642154969776942,-0.06195980235530068,0.3145452023605457,-0.1903450639693809,0.16357376323772896,0.15746842577262854,0.6058498920499261,0.6411850501885488,0.6045496744790452,0.6353495054427122,0.32697340557693966,0.4098962193286349,0.19946642996142455,0.27992343817678994,0.4352556410864813,0.4735481537864873,0.3755126816147403,0.4233051286998005,0.17932460361054975,0.21187492230165214,-0.12270504944315619,-0.11583775486040748,-0.19163909355170416,0.5053607878226568,0.5394285753389341,0.6471688344943721,0.6738102231756851,0.5147173245488058,0.5527145678951516,-0.14442714211902366,0.23563094129906928,0.25076775126629286,0.3099098854793127,0.31079133075585375,0.11134282852033704,0.10754258608008754,-0.038018465794452984,-0.15631482468753466,-0.3725945907382421,-0.3665363092777735,-0.7650763172610022,0.16033608827560267,0.6282617674356624,0.623900832285515,0.3736522591445376,0.243284410751067,0.4586426693284078,0.4045159249306198,0.19850228507104906,-0.1190822428278336,0.5261748157255218,0.6638595300824822,0.5376224731684861,-0.15154103696082544,0.24583013673722987,0.31227148011139844,0.10980236920110426,-0.37013102754552607,0.5334334871355554,-0.7650763172610018,0.511573238097724,0.547616685626927,-0.1904115220154647
Production,0.019552341073167133,0.15893709493818575,-0.20104202521767361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04979531976297545,0.044796535018255215,0.05576839906101382,0.032437383576372235,0.8049602939696524,-0.7038510161102026,0.04609813008448875,-0.04330417609271322,-0.2996076653538335,0.011921215544795407,-0.3646483288374874,-0.5758630923400058,-0.4289308828088886,-0.6525547886691795,-0.48359111971237856,0.5427021260655023,0.5745532927728956,-0.8101399525885051,0.3861919039647617,-0.06623374805445724,0.5622329784011132,1.0,-0.2645756495509734,0.46037585935296166,0.36288554646768084,-0.020733579004679627,0.0006853932488286703,-0.4454378722155621,0.06984497683213077,-0.1850840773916061,0.41107627616184733,-0.2076072667372064,-0.2704213779347865,-0.08713034892462451,0.3430855003984738,0.10877708752705782,0.28091980009883777,0.26779921589650535,0.7237737505267754,0.7285022303972883,0.7160193025673075,0.7139925419336034,0.4182259128981493,0.4894053045066176,0.28086607779746325,0.35505475683630766,0.5333007432140242,0.5420756695532436,0.4363798915079978,0.45374050853876885,0.27008381961142425,0.2765872262178475,-0.07649004133155385,-0.0808292426503455,0.07475324133137899,0.6228215844910097,0.6265627587509105,0.750028648300409,0.7482942471185338,0.6280594710130366,0.6323817118729503,-0.17509024864289757,0.26656852105790185,0.25993570898244683,0.29482782943020097,0.27673037300100756,0.13608541926358145,0.12824550481002467,0.2722907558411862,-0.2026733274033011,-0.4398288747274241,-0.44791232309588724,-0.7955764575575358,0.2739132160727251,0.7302770665760466,0.7177058294039199,0.45883531551855805,0.32161517001557755,0.5397483326789366,0.44809633404688304,0.27455129070569795,-0.0791202488530084,0.6269313017383762,0.7507896411518367,0.6322892835812084,-0.19109331165264162,0.2653573972970264,0.28668089363795873,0.13240826276891313,-0.4455412506130447,0.6315194440469574,-0.795576457557536,0.6273966586007294,0.6313565376864626,0.07100537403919503
Drive,0.26552987620687946,-0.12940745428527756,-0.2261914341050973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2583722367923021,0.1690375322109893,0.13180479938824266,0.19747051566000084,-0.28697358677023943,0.25768209649744145,-0.032857453617071444,0.009552953823043045,0.10949913405750708,0.03513982665250278,0.37830276882749336,0.4570210594305425,0.24436451226028147,0.28230444042355196,0.12116521701076395,-0.6303527833984777,-0.5675148238393639,0.32638709375746755,-0.4533816965716937,0.22051753586855682,-0.19413963744885335,-0.2645756495509734,1.0,-0.22622019708607757,-0.7519329475711751,-0.5557649677183535,-0.39089806870218696,-0.14277932218461215,-0.04410272088986901,0.21279463261072937,-0.13409131593085732,0.3016396990598274,-0.20905266283566934,0.029082585428990733,-0.2603553128067168,-0.20902676720182176,-0.09929514858486253,-0.08200488806801244,-0.379833767673521,-0.33879366161632873,-0.3538696851608009,-0.31398525701758806,-0.4083369715448274,-0.4107107925613601,-0.41148729801844447,-0.4267574873595805,-0.46779840882870477,-0.44180506386203855,-0.33955661272018656,-0.3153912708651408,-0.32731959847082986,-0.3086864945892043,-0.31244626093527766,-0.2950176839898337,-0.1937447299065672,-0.43969645097824706,-0.40494744459511994,-0.4476733025534044,-0.419666937937695,-0.495795134347364,-0.46207360021817007,-0.06273764141332382,-0.32549687447847825,-0.2888782084780739,-0.3224991842475971,-0.2860031480787648,-0.062307215775617764,-0.0311955738996017,-0.20118224256461859,-0.01508684860594798,0.048543318391392976,0.09487882245961643,0.3243465547153853,-0.08987501778104631,-0.3597110217814595,-0.333262537850556,-0.4112428006795456,-0.4211330901464237,-0.45383899631706637,-0.32697604274841297,-0.31750863163850374,-0.30325418814829563,-0.42153717820109343,-0.43275833420735343,-0.4781843543374402,-0.03624053495827379,-0.30871270766794845,-0.304421294153309,-0.04516752796576955,0.07488729231082936,-0.450629460272465,0.3243465547153855,-0.4685825652612794,-0.434230921201685,-0.19389107024406996
Carpool,0.05302682461415925,0.10909363750913709,-0.20530553697143733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03188262913008376,0.09569116469069298,0.0968757060629531,0.09053437166951464,0.48721141349672936,-0.47696993875301513,0.019112781817421848,-0.0412675962767961,-0.09063056697433025,-0.007496346782332926,-0.1743154257357745,-0.2931246224500279,-0.2402470772059313,-0.42290071850512945,-0.33855979134708286,0.2271679847254021,0.26749943995925807,-0.4893323538267484,0.28450744264203986,0.030598414672400168,0.43732442368555413,0.46037585935296166,-0.22622019708607757,1.0,0.04623463405777988,-0.14861821354894775,-0.06718622896455692,-0.3625067932305668,0.16054650238273538,-0.07680662676638148,0.1780288058390043,-0.061556419808032975,-0.15541434869848197,-0.008690404603202797,0.2492949913240159,-0.16082035480418003,0.14852785318405667,0.14532199443099367,0.42207050073947533,0.46034792823588744,0.43234281945544817,0.4636985792435152,0.19148273217867967,0.2577406281531247,0.08449189883343772,0.14680446603442215,0.2541747491167441,0.2859970025085671,0.22586521593577813,0.2612697377660295,0.10015381028896914,0.12192180542781335,-0.06339457546182167,-0.05171424849972967,-0.17972497890202357,0.33068873673439403,0.3639287978174361,0.42565087137619895,0.45207689047109667,0.31616309761082695,0.34937500127558657,-0.15182356963682175,0.12985158834226543,0.15078960324836038,0.12080219059441127,0.1277889777620852,0.060337319118346444,0.05459535283519225,-0.030219059515754904,-0.16165831363207175,-0.36262513819201264,-0.3549492530907949,-0.5288766420680049,0.14687098819986755,0.44507147697130106,0.45132611927664856,0.22850607312141383,0.11817912884908055,0.2733401479260215,0.247144784034696,0.11292520541488564,-0.0569108893690079,0.35047494439052745,0.4417021862728319,0.335802172254328,-0.15781065338906464,0.14223215183647733,0.1253690578619178,0.057434434952484806,-0.35922047048622807,0.344377366717313,-0.5288766420680044,0.32464426796062434,0.35791352779867375,-0.18062845102790706
Transit,-0.31421928069529015,0.19381035036137526,0.1922537010018172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2955504232095805,-0.13748301317482547,-0.10078874007688028,-0.16672952086366358,0.3877360859758537,-0.3999396547297058,0.11790511409263,-0.04429033085682123,-0.11972994703080911,-0.018171466016248587,-0.40389552642031634,-0.5147344889974995,-0.33974501540768426,-0.3859829630976457,-0.2676765431455299,0.6112515101312148,0.6116849994551868,-0.43341777655121133,0.5139714279942342,-0.21657140119157883,0.2998792943827823,0.36288554646768084,-0.7519329475711751,0.04623463405777988,1.0,0.148232406442353,0.1449186754080193,-0.16820804863374766,0.2328545315817617,-0.1741473123124088,0.18107460258684377,-0.3285404251698825,0.1835266785189707,-0.056946715382458976,0.24298778647260758,0.18924500129812544,0.18369922610014142,0.17176043916005973,0.4702633937427965,0.440579631977131,0.44400147501706483,0.41298521950988204,0.28508096740940503,0.3181541365251607,0.2479308665359546,0.2909745448936099,0.5307402255587415,0.5164052783668531,0.43286733578036646,0.419192521180469,0.37973563914645375,0.3734031935922306,0.1922073741528883,0.20209418401023851,0.14395563877472708,0.4829737183034349,0.4654900268975688,0.5326381390851823,0.5108721179823096,0.5299974795597179,0.5147698080776978,-0.014502052553544125,0.3260042997075022,0.29586081260772434,0.37990635250856,0.3570569713569026,0.051368465731668124,0.02916429001503266,0.19347926505270643,-0.04589937755124886,-0.22127513281897299,-0.24143030725195327,-0.47051207801354183,0.17727412724897465,0.4567749966481782,0.42863737791179785,0.304306958954631,0.27187551824987505,0.5237264941951563,0.42669588395478697,0.3771301890382918,0.19823996223937176,0.47467855721662605,0.5214773230989744,0.5229180290759954,-0.032136762734151184,0.31269956990247416,0.3696666811001468,0.03917277631886428,-0.23325242237204982,0.4998148506856656,-0.4705120780135413,0.5075563219523853,0.49111076791434644,0.14396471170385816
Walk,-0.07999786897493588,-0.0208608211202724,0.1397185875500094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07163716838950901,-0.08256991842448283,-0.07359521869172408,-0.08766384007312235,-0.02534800029250864,0.024965043363900253,-0.05347815155149826,0.005180511298861999,0.04363019539635103,-0.0025205718064334136,-0.05963840434017711,-0.21724313928600808,-0.059802206854894034,-0.097321028990454,0.026248625086122405,0.3127835080427355,0.20195048212449956,-0.02405709653906535,0.10299377747108115,0.04283118620144139,-0.09674968581171012,-0.020733579004679627,-0.5557649677183535,-0.14861821354894775,0.148232406442353,1.0,0.25480007191457626,0.056316943202136115,-0.3259631559267353,-0.09878104979066282,0.019532187435626167,-0.020316842395559805,0.0015106621619101763,-0.017256717959137878,0.13144493912521363,0.15127841321067714,-0.05334630977751425,-0.06340550312646835,-0.041386012444708374,-0.07114865118344829,-0.03884388897439227,-0.06577660605529308,0.3907001508237895,0.32861731654468807,0.4812283609104769,0.43252615271283906,0.09633155840638041,0.0618452276469787,0.016858682629402624,-0.009286171695871082,0.09717481839616328,0.07216810323683887,0.37566509715718915,0.3205099256462461,0.2380383189850956,0.10606386134027385,0.0634943917780071,0.0004890007392861418,-0.020541017239968578,0.1390277525257579,0.09479241266926912,0.25114569966658923,0.14161289910461444,0.11910833469819564,0.08235160757505243,0.05181213810601957,0.029362583943025416,0.014050350506872498,0.13993520707363033,0.21319212326283513,0.3079690065581301,0.24436753355663804,0.06878152439132257,-0.05890344090175249,-0.05770673871754581,-0.05384719825626408,0.35825255453426813,0.4568463860341589,0.07649494538907307,0.0018675935844978445,0.08307932052651561,0.34521775428305745,0.08242691960220314,-0.011493564580038342,0.1144677942366185,0.23067370945520946,0.13078320298902296,0.06608807267018542,0.020919985630063483,0.272778122141018,0.09839413552142312,0.06878152439132254,0.12254584640141099,0.07904811647152113,0.23827182406303776
OtherTransp,-0.13886125830727455,-0.018777814418286857,0.1517049895947126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10762776170124838,-0.0755564148045425,-0.05865814522786413,-0.0885097666730617,0.0608027359520377,4.547223841014128e-06,-0.025386061088878854,-0.03474782315027517,-0.09398373280590147,0.013436862457170124,-0.12321665508139798,-0.15863324206958754,-0.0912139653473057,-0.03278240782638649,-0.0007982292506531381,0.2144317331489897,0.1751810766286793,-0.030398259794090117,0.1443714110805085,-0.14339244637922188,0.02759292519276477,0.0006853932488286703,-0.39089806870218696,-0.06718622896455692,0.1449186754080193,0.25480007191457626,1.0,0.007173732180887105,-0.12800726694870426,-0.028686607773954702,0.10571807113328506,-0.19330570622283272,0.10995458008681945,-0.0472879856352697,0.021132639873524466,0.14329761928862164,-0.03662871795618707,-0.04406535379070233,0.10481721757702886,0.06962321564390421,0.08755954929162017,0.05985411871302871,0.2214490165612119,0.20983956485125801,0.24121385821117813,0.23729910871984766,0.16922344842467849,0.1510405759938881,0.06488665877068371,0.05102022200310218,0.0759656584849862,0.06629159884208011,0.17409670964550886,0.1568530943620267,0.09917100308364328,0.15453648074334184,0.1273740956662408,0.12972938364733708,0.10765111520230425,0.18181988334124055,0.15510420478006948,0.1565703743549666,0.05949046793971895,0.04831004543766579,0.1356864729590606,0.12327221740834192,0.1788171211668309,0.17635981332133382,0.12188171473909395,0.13477252858644723,0.1415171121214665,0.11362738732280496,0.006404033879026623,-0.040735097350430384,0.0863564581204405,0.0726251808283988,0.21596509015145487,0.23997464585535838,0.15906191303783138,0.05715609845417274,0.0706168536734942,0.16470315629872637,0.13973367566180428,0.11745091758842688,0.1672661335160295,0.1448514977062964,0.05401449157133365,0.1296946750643822,0.17839063001210415,0.12610239245380364,0.153669720543288,0.006404033879026601,0.16839369029963858,0.14137476080945818,0.1013811710625067
WorkAtHome,-0.008646318165770245,-0.09368899183888642,0.1366419739287648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027465812897798456,-0.15712508563374056,-0.14779279921423666,-0.15942367130257618,-0.48765802713297174,0.5441272076158046,-0.07639070302361126,0.1127598446699232,0.0302426615262213,-0.055113078664057354,0.07406199885106349,0.406602502767188,0.37714558142980653,0.5536544378594237,0.507968761647625,-0.18368647522405585,-0.2872960263091273,0.51162895727073,-0.2591479412435512,-0.18432087657310495,-0.4159835255286607,-0.4454378722155621,-0.14277932218461215,-0.3625067932305668,-0.16820804863374766,0.056316943202136115,0.007173732180887105,1.0,-0.06532653492158205,-0.02488343302807325,-0.2509682852846343,0.006385240723952796,0.3159090305777006,0.08214511087023882,-0.19609261273268577,0.045902047608251804,-0.19184411738481724,-0.19288628866969407,-0.41624188633622283,-0.44415554051800404,-0.43312126727152966,-0.45572957679468035,-0.3087910872349942,-0.35602333247324186,-0.2375299290755362,-0.2885110464087591,-0.35111405851246835,-0.36879299960108386,-0.30227860247319377,-0.3326020204187866,-0.20215307023183313,-0.22375755676668924,-0.07228958384363435,-0.07467677259770415,0.03733944081336422,-0.4022473822501794,-0.42323412435600627,-0.4374281703966766,-0.4536743899601491,-0.3944218527564756,-0.41567504680536377,-0.045103828061502864,-0.16606058906845056,-0.18588097964821232,-0.2487344166716827,-0.2595957602335737,-0.13373676013027083,-0.14335655918881668,-0.08675332974335766,-0.036986304519742066,0.24810184757643347,0.2531754104359615,0.5769216809563842,-0.19254838735933824,-0.43360654894175465,-0.4472841136988028,-0.33586113494942144,-0.26569039111210735,-0.36228836131843956,-0.3209326796754746,-0.2151074400608952,-0.07380347641884542,-0.4153617768528092,-0.4477061161511859,-0.4075373239223124,-0.0406981850783214,-0.17816036594800985,-0.2562031107631006,-0.13985224710355654,0.2516148486500116,-0.4128248509932196,0.5769216809563846,-0.3997143828777213,-0.4208345016898952,0.0371499468159422
MeanCommute,0.08485228672137518,0.1325299907734051,-0.09436598681105042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00046499612562833924,-0.01672283929230415,-0.0006497831183868111,-0.03137996165131541,0.11721943669304553,-0.13978351901803127,0.09776341090987521,0.00986785104718524,-0.04668581492023981,-0.07712867315479471,-0.09365215154549217,-0.050109298075427584,-0.1070457035437105,-0.13352301009675235,-0.14569630534000422,0.08718324334400201,0.12983124051962627,-0.14871488325699522,0.12840994777855572,-0.024993351227020087,0.23265750847711167,0.06984497683213077,-0.04410272088986901,0.16054650238273538,0.2328545315817617,-0.3259631559267353,-0.12800726694870426,-0.06532653492158205,1.0,-0.09963924084968664,-0.09177040631376786,0.02883459088212884,0.08585087409403007,-0.01580640195190239,0.0977969819699806,-0.2097998840172968,0.24711416573427938,0.24306684989685406,0.26545430325948777,0.2617410124597213,0.259749158343657,0.2561906775652979,0.04896895856428011,0.08286252856518769,-0.023001506713821163,0.009691432864354617,0.2191773400358436,0.2206376021676612,0.28307770397187404,0.2761025660599347,0.16937178140209455,0.16710230162785822,-0.08610060847825797,-0.06847414669299748,-0.21066440354364976,0.2175757126367214,0.21907974518910284,0.2530838098396233,0.2505403289850669,0.22564951049763632,0.22961186806202624,-0.06799179189331916,0.19078139623321955,0.17653524837353243,0.24705838710098973,0.24304055812327222,-0.06167870517526276,-0.07306548450015378,-0.14008354132901374,-0.07301320006037267,-0.25174186015489614,-0.24385391014350807,-0.3331131389554479,0.24506361623707135,0.2648963150694031,0.25880640152159645,0.06771320312827839,-0.005568696611133802,0.2205801144020197,0.28018044886277965,0.168529667971334,-0.07629538344279205,0.21912451232719554,0.25222587521815476,0.22853028948727844,-0.07101888295971885,0.18481819836768573,0.2463516272687012,-0.06840222918978045,-0.24793123316075066,0.22442430268594388,-0.3331131389554483,0.2222336803945263,0.224928345176508,-0.2092306226069843
Employed,-0.017472481221532804,-0.008276917113810858,0.04438777418706302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028708194526110467,0.8873718699275496,0.8565987474389893,0.873077606399963,-0.15350525265699563,0.15266071247282179,-0.08255085534544572,-0.037483858381246876,0.0859729391905112,-0.00836846358073346,0.8542372731378701,0.15878196433956476,-0.009420070427579108,0.1553353971474595,-0.0271260565035204,-0.27873218757388996,-0.25962192433041437,0.21682204180172954,-0.1933732470362769,0.029445724796705586,-0.16224709925270359,-0.1850840773916061,0.21279463261072937,-0.07680662676638148,-0.1741473123124088,-0.09878104979066282,-0.028686607773954702,-0.02488343302807325,-0.09963924084968664,1.0,0.006544727267878593,0.008075826847831598,-0.019173404134841657,0.005624675820444493,-0.25053858726388867,-0.0651566860654114,-0.037019249073640376,-0.025502152375879356,-0.03276105766846694,0.003725005040350765,-0.02743771185796589,0.0039102197192114364,-0.013399071296179618,-0.001090199739278956,0.03154990367931872,0.04763370496565877,0.1598662058324346,0.17032097396061555,0.13079554295173848,0.14860242602347065,0.10832334316083907,0.12878184632731013,0.1363477083133104,0.15787972960465874,-0.17986649103861882,0.0655249903989994,0.09666518252868964,-0.05132885119133696,-0.033168257077886246,0.061946554132448345,0.09054402588023494,0.3927269654612909,0.0039027323291996067,0.0498910997150474,0.06302094341922723,0.09259020922203864,0.05809591591895093,0.08141117538233202,-0.17592546235196757,0.42543631042172375,0.41803033860232736,0.4439417575910299,0.26076169444697395,-0.030724280146373562,-0.013204961754966703,-0.01025671253997323,-0.006712661407243353,0.040281241315495306,0.16635203087760525,0.141563698147367,0.12036579447696023,0.14886106885434522,0.08327768303037117,-0.041098942770391785,0.07825884032994974,0.4122850739250384,0.028619670493262396,0.07963384628787618,0.07149947963013083,0.43377239087581887,0.081076104610608,0.26076169444697367,0.06398339626199985,0.09395907000444598,-0.1795718823606334
