,State,County,TotalPop,Income,CensusTract,White Population %,Hispanic Population %,Black  Population %,Asian Population %,Native Population %,Other Population %,% Men,% Women
1339,Minnesota,Hennepin,1197776,72183.2624105008,299,70.41490195161698,6.8212420352386465,11.982608768250493,6.737365417239954,0.5897147713762841,3.419056484684952,49.239674196176914,50.76032580382308
1582,Missouri,St. Louis,1001327,68911.74286521785,199,67.77132605033115,2.6747962453823786,23.261930717937286,3.7644013394225864,0.12897355209636813,2.3870209232348665,47.352163678798235,52.647836321201765
1748,Nevada,Clark,2015075,55306.292949393945,480,45.423956329168874,30.307542796173877,10.469228738384428,9.030308499683636,0.41698100566976415,3.6774093271962593,50.15252534024788,49.847474659752116
1774,New Jersey,Bergen,923268,93891.7027959379,178,59.27032540930691,17.985033598045206,5.313500197125861,15.562875568090732,0.12324958733542152,1.7261994350502778,48.37197866708258,51.62802133291742
1779,New Jersey,Essex,777084,66698.26327140952,206,31.390960308023335,21.988744717430805,39.101207462771086,4.728919782159972,0.1466092468767856,2.603039182379254,47.73898317299031,52.26101682700969
1784,New Jersey,Middlesex,830300,83364.72018065759,175,46.095778995543796,19.55858773937132,9.208529326749366,23.153470673250634,0.12837299771167046,1.8187932072744792,49.18390943032639,50.81609056967361
1829,New York,Bronx,1418542,37072.906736635225,327,10.273790835942814,54.78900039618143,29.429871868439545,3.6115087886012516,0.22482464389492882,1.6487717670678768,46.82568439989792,53.17431560010208
1841,New York,Erie,907931,56273.45897320391,230,77.03458379546468,4.859879990880363,12.827129704790346,2.9670794366532265,0.4266001491302753,1.8630552321707263,48.104756859276755,51.895243140723245
1850,New York,Kings,2593160,51735.99190177235,748,35.73309564392477,19.595038601551792,31.188201884958893,11.409231362507551,0.17191766030634423,1.8954131252988626,47.31782844097549,52.68217155902452
1856,New York,Nassau,1351003,103231.22517196483,276,62.89556855166126,15.76212251194112,10.863909776662245,8.467119318017792,0.1096743678585466,1.8877346682427787,48.50788636294664,51.49211363705336
1857,New York,New York,1614551,78711.76648678178,273,46.94547134156803,25.960278058729642,12.759981257947253,11.576953159113591,0.13496111302770866,2.587560070880388,47.13607684117751,52.86392315882248
1867,New York,Queens,2298378,59872.79801103213,640,26.065357177975105,27.971394609589854,17.401704288850663,24.25410076149352,0.2190496080279223,4.045153625730841,48.47618624960733,51.52381375039267
1878,New York,Suffolk,1501373,91564.17059518187,322,69.6269873642326,17.809544330422895,7.1462073715192735,3.7352726471036863,0.1339623131626851,1.526490552314448,49.235599681091905,50.7644003189081
1886,New York,Westchester,949828,97418.23610695831,215,55.168366799041536,23.569786108642845,13.38630688924732,5.592447790547341,0.1272949418210455,2.138891251889816,48.26400148237365,51.73599851762635
1948,North Carolina,Mecklenburg,990288,64161.84919841501,230,49.11470945825861,12.51508177419093,30.451889046418824,5.133044326498962,0.21577036175334857,2.50262398413391,48.144075258914576,51.855924741085424
